rulerID	row	name	reign	sheet_birthdeath	born	died	source	status
1	2	St. Peter	32–67					NO-DATE on wikidata
2	3	St. Linus	67–76		10	79	wikidata	OK
3	4	St. Anacletus (Cletus)	76–88		25		wikidata	OK born only
4	5	St. Clement I	88–97			99	wikidata	OK died only
5	6	St. Evaristus	97–105			105	wikidata	OK died only
6	7	St. Alexander I	105–115			116	wikidata	OK died only
7	8	St. Sixtus I	115–125		42		wikidata	OK born only
8	9	St. Telesphorus	125–136					NO-DATE on wikidata
9	10	St. Hyginus	136–140			142	wikidata	OK died only
10	11	St. Pius I	140–155					NO-DATE on wikidata
11	12	St. Anicetus	155–166			166	wikidata	OK died only
12	13	St. Soter	166–175			175	wikidata	OK died only
13	14	St. Eleutherius	175–189			189	wikidata	OK died only
14	15	St. Victor I	189–199			199	wikidata	OK died only
15	16	St. Zephyrinus	199–217			217	wikidata	OK died only
16	17	St. Callistus I	217–222			222	wikidata	OK died only
17	18	St. Urban I	222–230			230	wikidata	OK died only
18	19	St. Pontian	230–235			235	wikidata	OK died only
19	20	St. Anterus	235–236			236	wikidata	OK died only
20	21	St. Fabian	236–250			250	wikidata	OK died only
21	22	St. Cornelius	251–253		180	253	wikidata	OK
22	23	St. Lucius I	253–254			254	wikidata	OK died only
23	24	St. Stephen I	254–257			257	wikidata	OK died only
24	25	St. Sixtus II	257–258		215	258	wikidata	OK
25	26	St. Dionysius	260–268		200	268	wikidata	OK
26	27	St. Felix I	269–274			274	wikidata	OK died only
27	28	St. Eutychian	275–283			283	wikidata	OK died only
28	29	St. Caius	283–296			296	wikidata	OK died only
29	30	St. Marcellinus	296–304			304	wikidata	OK died only
30	31	St. Marcellus I	308–309		255	309	wikidata	OK
31	32	St. Eusebius	310–310			310	wikidata	OK died only
32	33	St. Miltiades	311–314			314	wikidata	OK died only
33	34	St. Sylvester I	314–335			335	wikidata	OK died only
34	35	St. Marcus	336–336			336	wikidata	OK died only
35	36	St. Julius I	337–352			352	wikidata	OK died only
36	37	Liberius	352–366		310	366	wikidata	OK
37	38	St. Damasus I	366–384		305	384	wikidata	OK
38	39	St. Siricius	384–399		334	399	wikidata	OK
39	40	St. Anastasius I	399–401		340	401	wikidata	OK
40	41	St. Innocent I	401–417			417	wikidata	OK died only
41	42	St. Zosimus	417–418			418	wikidata	OK died only
42	43	St. Boniface I	418–422		370	422	wikidata	OK
43	44	St. Celestine I	422–432			432	wikidata	OK died only
44	45	St. Sixtus III	432–440		390	440	wikidata	OK
45	46	St. Leo I	440–461		390	461	wikidata	OK
46	47	St. Hilarius	461–468		415	468	wikidata	OK
47	48	St. Simplicius	468–483		420	483	wikidata	OK
48	49	St. Felix III (II)	483–492		440	492	wikidata	OK
49	50	St. Gelasius I	492–496			496	wikidata	OK died only
50	51	Anastasius II	496–498			498	wikidata	OK died only
51	52	St. Symmachus	498–514		460	514	wikidata	OK
52	53	St. Hormisdas	514–523		450	523	wikidata	OK
53	54	St. John I	523–526		470	526	wikidata	OK
54	55	St. Felix IV (III)	526–530			530	wikidata	OK died only
55	56	Boniface II	530–532			532	wikidata	OK died only
56	57	John II	533–535		470	535	wikidata	OK
57	58	St. Agapetus I	535–536			536	wikidata	OK died only
58	59	St. Silverius	536–537		477	537	wikidata	OK
59	60	Vigilius	537–555			555	wikidata	OK died only
60	61	Pelagius I	556–561		505	561	wikidata	OK
61	62	John III	561–574		520	574	wikidata	OK
62	63	Benedict I	575–579		525	579	wikidata	OK
63	64	Pelagius II	579–590		520	590	wikidata	OK
64	65	St. Gregory I	590–604		540	604	wikidata	OK
65	66	Sabinian	604–606		530	606	wikidata	OK
66	67	Boniface III	607–607		540	607	wikidata	OK
67	68	St. Boniface IV	608–615		550	615	wikidata	OK
68	69	St. Deusdedit (Adeodatus I)	615–618		570	618	wikidata	OK
69	70	Boniface V	619–625			625	wikidata	OK died only
70	71	Honorius I	625–638		585	638	wikidata	OK
71	72	Severinus	461–640			640	wikidata	OK died only
