category	name	born	died	sitelinks	rulerID	progr	desc	url	status
Artist	Giotto	1267	1337	97	3441	4261	Italian painter and architect	https://en.wikipedia.org/wiki/Giotto	NEW
Artist	Donatello	1386	1466	107	3442	4262	Early Renaissance Italian sculptor	https://en.wikipedia.org/wiki/Donatello	NEW
Artist	Sandro Botticelli	1445	1510	113	3443	4263	Italian painter	https://en.wikipedia.org/wiki/Sandro_Botticelli	NEW
Artist	Albrecht Dürer	1471	1528	187	3444	4264	German painter, printmaker, mathematician, and theorist	https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer	NEW
Artist	Michelangelo	1475	1564	259	3445	4265	Italian artist and architect	https://en.wikipedia.org/wiki/Michelangelo	NEW
Artist	Raphael	1483	1520	194	3446	4266	Italian painter and architect	https://en.wikipedia.org/wiki/Raphael	NEW
Artist	Titian	1490	1576	107	3447	4267	Italian painter	https://en.wikipedia.org/wiki/Titian	NEW
Artist	El Greco	1541	1614	113	3448	4268	Greek artist, painter, sculptor and architect	https://en.wikipedia.org/wiki/El_Greco	NEW
Artist	Caravaggio	1571	1610	112	3449	4269	Italian painter	https://en.wikipedia.org/wiki/Caravaggio	NEW
Artist	Peter Paul Rubens	1577	1640	172	3450	4270	Flemish painter	https://en.wikipedia.org/wiki/Peter_Paul_Rubens	NEW
Artist	Diego Velázquez	1599	1660	165	3451	4271	Spanish painter	https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez	NEW
Artist	Rembrandt	1606	1669	205	3452	4272	Dutch painter and printmaker	https://en.wikipedia.org/wiki/Rembrandt	NEW
Artist	Johannes Vermeer	1632	1675	115	3453	4273	Dutch painter	https://en.wikipedia.org/wiki/Johannes_Vermeer	NEW
Artist	Francisco Goya	1746	1828	183	3454	4274	Spanish painter and printmaker	https://en.wikipedia.org/wiki/Francisco_Goya	NEW
Artist	Katsushika Hokusai	1760	1849	175	3455	4275	Japanese artist	https://en.wikipedia.org/wiki/Hokusai	NEW
Artist	Jean-Auguste-Dominique Ingres	1780	1867	133	3456	4276	French painter	https://en.wikipedia.org/wiki/Jean-Auguste-Dominique_Ingres	NEW
Artist	Eugène Delacroix	1798	1863	121	3457	4277	French painter	https://en.wikipedia.org/wiki/Eug%C3%A8ne_Delacroix	NEW
Artist	Édouard Manet	1832	1883	112	3458	4278	French painter	https://en.wikipedia.org/wiki/%C3%89douard_Manet	NEW
Artist	Edgar Degas	1834	1917	113	3459	4279	French Impressionist artist	https://en.wikipedia.org/wiki/Edgar_Degas	NEW
Artist	Paul Cézanne	1839	1906	138	3460	4280	French painter	https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne	NEW
Artist	Claude Monet	1840	1926	153	3461	4281	French painter	https://en.wikipedia.org/wiki/Claude_Monet	NEW
Artist	Auguste Rodin	1840	1917	130	3462	4282	French sculptor	https://en.wikipedia.org/wiki/Auguste_Rodin	NEW
Artist	Pierre-Auguste Renoir	1841	1919	114	3463	4283	French painter and sculptor	https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir	NEW
Artist	Sarah Bernhardt	1844	1923	193	3464	4284	French stage actress, painter and sculptor	https://en.wikipedia.org/wiki/Sarah_Bernhardt	NEW
Artist	Paul Gauguin	1848	1903	133	3465	4285	French painter and printmaker	https://en.wikipedia.org/wiki/Paul_Gauguin	NEW
Artist	Vincent van Gogh	1853	1890	263	3466	4286	Dutch painter	https://en.wikipedia.org/wiki/Vincent_van_Gogh	NEW
Artist	Gustav Klimt	1862	1918	106	3467	4287	Austrian symbolist painter	https://en.wikipedia.org/wiki/Gustav_Klimt	NEW
Artist	Edvard Munch	1863	1944	119	3468	4288	Norwegian painter	https://en.wikipedia.org/wiki/Edvard_Munch	NEW
Artist	Henri de Toulouse-Lautrec	1864	1901	97	3469	4289	French painter and illustrator	https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec	NEW
Artist	Wassily Kandinsky	1866	1944	102	3470	4290	Avant-garde painter of Russian origin	https://en.wikipedia.org/wiki/Wassily_Kandinsky	NEW
Artist	Henri Matisse	1869	1954	179	3471	4291	French artist	https://en.wikipedia.org/wiki/Henri_Matisse	NEW
Artist	Paul Klee	1879	1940	97	3472	4292	German-Swiss artist	https://en.wikipedia.org/wiki/Paul_Klee	NEW
Artist	Pablo Picasso	1881	1973	263	3473	4293	Spanish painter and sculptor	https://en.wikipedia.org/wiki/Pablo_Picasso	NEW
Artist	Marc Chagall	1887	1985	103	3474	4294	Belarusian-French artist	https://en.wikipedia.org/wiki/Marc_Chagall	NEW
Artist	Joan Miró	1893	1983	105	3475	4295	Spanish painter, sculptor, and ceramicist	https://en.wikipedia.org/wiki/Joan_Mir%C3%B3	NEW
Artist	Salvador Dalí	1904	1989	246	3476	4296	Spanish artist	https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD	NEW
Artist	Frida Kahlo	1907	1954	196	3477	4297	Mexican painter	https://en.wikipedia.org/wiki/Frida_Kahlo	NEW
Artist	Jackson Pollock	1912	1956	116	3478	4298	American painter	https://en.wikipedia.org/wiki/Jackson_Pollock	NEW
Artist	Andy Warhol	1928	1987	178	3479	4299	American artist, film director, and producer	https://en.wikipedia.org/wiki/Andy_Warhol	NEW
Artist	David Lynch	1946	2025	105	3480	4300	American filmmaker, visual artist, musician, and actor	https://en.wikipedia.org/wiki/David_Lynch	NEW
Composer	Giovanni Pierluigi da Palestrina	1525	1594	116	3481	4301	Italian Renaissance composer	https://en.wikipedia.org/wiki/Giovanni_Pierluigi_da_Palestrina	NEW
Composer	Antonio Vivaldi	1678	1741	166	3482	4302	Italian composer and violinist	https://en.wikipedia.org/wiki/Antonio_Vivaldi	NEW
Composer	Johann Sebastian Bach	1685	1750	258	3483	4303	German composer	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach	NEW
Composer	George Frideric Handel	1685	1759	157	3484	4304	German-British Baroque composer	https://en.wikipedia.org/wiki/George_Frideric_Handel	NEW
Composer	Joseph Haydn	1732	1809	158	3485	4305	Austrian composer	https://en.wikipedia.org/wiki/Joseph_Haydn	NEW
Composer	Wolfgang Amadeus Mozart	1756	1791	274	3486	4306	Austrian composer of the Classical period	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart	NEW
