Category	Artist	Year	Work
Composer	Giovanni Pierluigi da Palestrina	1562	Missa Papae Marcelli
Composer	Antonio Vivaldi	1725	The Four Seasons
Composer	Antonio Vivaldi	1711	L'estro armonico
Composer	Johann Sebastian Bach	1721	Brandenburg Concertos
Composer	Johann Sebastian Bach	1727	St Matthew Passion
Composer	Johann Sebastian Bach	1749	Mass in B minor
Composer	George Frideric Handel	1742	Messiah
Composer	George Frideric Handel	1717	Water Music
Composer	George Frideric Handel	1749	Music for the Royal Fireworks
Composer	Joseph Haydn	1798	The Creation
Composer	Joseph Haydn	1791	Symphony No. 94 "Surprise"
Composer	Wolfgang Amadeus Mozart	1786	The Marriage of Figaro
Composer	Wolfgang Amadeus Mozart	1787	Don Giovanni
Composer	Wolfgang Amadeus Mozart	1791	Requiem
Composer	Ludwig van Beethoven	1808	Symphony No. 5
Composer	Ludwig van Beethoven	1824	Symphony No. 9
Composer	Ludwig van Beethoven	1801	Moonlight Sonata
Composer	Niccolò Paganini	1817	24 Caprices
Composer	Gioachino Rossini	1816	The Barber of Seville
Composer	Gioachino Rossini	1829	William Tell
Composer	Franz Schubert	1822	Symphony No. 8 "Unfinished"
Composer	Franz Schubert	1827	Winterreise
Composer	Hector Berlioz	1830	Symphonie fantastique
Composer	Felix Mendelssohn	1842	A Midsummer Night's Dream (Wedding March)
Composer	Felix Mendelssohn	1844	Violin Concerto in E minor
Composer	Frédéric Chopin	1832	Nocturnes
Composer	Frédéric Chopin	1833	Études
Composer	Robert Schumann	1835	Carnaval
Composer	Robert Schumann	1845	Piano Concerto in A minor
Composer	Franz Liszt	1853	Hungarian Rhapsodies
Composer	Franz Liszt	1853	Piano Sonata in B minor
Composer	Richard Wagner	1876	The Ring of the Nibelung
Composer	Richard Wagner	1865	Tristan und Isolde
Composer	Giuseppe Verdi	1851	Rigoletto
Composer	Giuseppe Verdi	1853	La traviata
Composer	Giuseppe Verdi	1871	Aida
Composer	Jacques Offenbach	1858	Orpheus in the Underworld
Composer	Jacques Offenbach	1881	The Tales of Hoffmann
Composer	Bedřich Smetana	1874	The Moldau (Vltava)
Composer	Bedřich Smetana	1866	The Bartered Bride
Composer	Johannes Brahms	1876	Symphony No. 1
Composer	Johannes Brahms	1868	A German Requiem
Composer	Alexander Borodin	1880	In the Steppes of Central Asia
Composer	Alexander Borodin	1890	Prince Igor
Composer	Georges Bizet	1875	Carmen
Composer	Pyotr Ilyich Tchaikovsky	1876	Swan Lake
Composer	Pyotr Ilyich Tchaikovsky	1892	The Nutcracker
Composer	Pyotr Ilyich Tchaikovsky	1880	1812 Overture
Composer	Antonín Dvořák	1893	Symphony No. 9 "From the New World"
Composer	Edvard Grieg	1875	Peer Gynt
Composer	Edvard Grieg	1868	Piano Concerto in A minor
Composer	Nikolai Rimsky-Korsakov	1888	Scheherazade
Composer	Nikolai Rimsky-Korsakov	1900	Flight of the Bumblebee
Composer	Giacomo Puccini	1896	La bohème
Composer	Giacomo Puccini	1900	Tosca
Composer	Giacomo Puccini	1904	Madama Butterfly
Composer	Gustav Mahler	1894	Symphony No. 2 "Resurrection"
Composer	Gustav Mahler	1909	Das Lied von der Erde
Composer	Claude Debussy	1894	Prélude à l'après-midi d'un faune
Composer	Claude Debussy	1905	La Mer
Composer	Claude Debussy	1905	Clair de Lune
Composer	Richard Strauss	1896	Also sprach Zarathustra
Composer	Richard Strauss	1911	Der Rosenkavalier
Composer	Jean Sibelius	1900	Finlandia
Composer	Jean Sibelius	1904	Violin Concerto in D minor
Composer	Sergei Rachmaninoff	1901	Piano Concerto No. 2
Composer	Sergei Rachmaninoff	1934	Rhapsody on a Theme of Paganini
Composer	Maurice Ravel	1928	Boléro
Composer	Maurice Ravel	1912	Daphnis et Chloé
Composer	Béla Bartók	1943	Concerto for Orchestra
Composer	Béla Bartók	1911	Bluebeard's Castle
Composer	Igor Stravinsky	1913	The Rite of Spring
Composer	Igor Stravinsky	1910	The Firebird
Composer	Igor Stravinsky	1911	Petrushka
Composer	Sergei Prokofiev	1936	Peter and the Wolf
Composer	Sergei Prokofiev	1935	Romeo and Juliet
Composer	Dmitri Shostakovich	1937	Symphony No. 5
Composer	Dmitri Shostakovich	1941	Symphony No. 7 "Leningrad"
Composer	Miles Davis	1959	Kind of Blue
Composer	Miles Davis	1970	Bitches Brew
Composer	Ennio Morricone	1966	The Good, the Bad and the Ugly (score)
Composer	Ennio Morricone	1986	The Mission (score)
Artist	Giotto	1305	Scrovegni Chapel frescoes
Artist	Donatello	1440	David (bronze)
Artist	Sandro Botticelli	1485	The Birth of Venus
Artist	Sandro Botticelli	1482	Primavera
Artist	Albrecht Dürer	1514	Melencolia I
Artist	Albrecht Dürer	1500	Self-Portrait
Artist	Michelangelo	1504	David
Artist	Michelangelo	1512	Sistine Chapel ceiling
Artist	Michelangelo	1499	Pietà
Artist	Raphael	1511	The School of Athens
Artist	Raphael	1512	Sistine Madonna
Artist	Titian	1538	Venus of Urbino
Artist	Titian	1518	Assumption of the Virgin
Artist	El Greco	1588	The Burial of the Count of Orgaz
Artist	El Greco	1600	View of Toledo
Artist	Caravaggio	1600	The Calling of Saint Matthew
Artist	Caravaggio	1599	Judith Beheading Holofernes
Artist	Peter Paul Rubens	1614	The Descent from the Cross
Artist	Peter Paul Rubens	1633	The Garden of Love
Artist	Diego Velázquez	1656	Las Meninas
Artist	Diego Velázquez	1635	The Surrender of Breda
Artist	Rembrandt	1642	The Night Watch
Artist	Rembrandt	1632	The Anatomy Lesson of Dr. Nicolaes Tulp
Artist	Johannes Vermeer	1665	Girl with a Pearl Earring
Artist	Johannes Vermeer	1658	The Milkmaid
Artist	Francisco Goya	1814	The Third of May 1808
Artist	Francisco Goya	1823	Saturn Devouring His Son
Artist	Katsushika Hokusai	1831	The Great Wave off Kanagawa
Artist	Katsushika Hokusai	1831	Thirty-six Views of Mount Fuji
Artist	Jean-Auguste-Dominique Ingres	1814	La Grande Odalisque
Artist	Jean-Auguste-Dominique Ingres	1862	The Turkish Bath
Artist	Eugène Delacroix	1830	Liberty Leading the People
Artist	Eugène Delacroix	1827	The Death of Sardanapalus
Artist	Édouard Manet	1863	Olympia
Artist	Édouard Manet	1863	Le Déjeuner sur l'herbe
Artist	Édouard Manet	1882	A Bar at the Folies-Bergère
Artist	Edgar Degas	1874	The Ballet Class
Artist	Edgar Degas	1881	The Little Fourteen-Year-Old Dancer
Artist	Paul Cézanne	1895	The Card Players
Artist	Paul Cézanne	1904	Mont Sainte-Victoire
Artist	Claude Monet	1872	Impression, Sunrise
Artist	Claude Monet	1916	Water Lilies
Artist	Auguste Rodin	1904	The Thinker
Artist	Auguste Rodin	1882	The Kiss
Artist	Pierre-Auguste Renoir	1881	Luncheon of the Boating Party
Artist	Pierre-Auguste Renoir	1876	Bal du moulin de la Galette
Artist	Sarah Bernhardt	1887	La Tosca (title role)
Artist	Sarah Bernhardt	1899	Hamlet (title role)
Artist	Paul Gauguin	1898	Where Do We Come From? What Are We? Where Are We Going?
Artist	Paul Gauguin	1888	Vision After the Sermon
Artist	Vincent van Gogh	1889	The Starry Night
Artist	Vincent van Gogh	1888	Sunflowers
Artist	Vincent van Gogh	1885	The Potato Eaters
Artist	Gustav Klimt	1908	The Kiss
Artist	Gustav Klimt	1907	Portrait of Adele Bloch-Bauer I
Artist	Edvard Munch	1893	The Scream
Artist	Edvard Munch	1894	Madonna
Artist	Henri de Toulouse-Lautrec	1891	Moulin Rouge: La Goulue (poster)
Artist	Henri de Toulouse-Lautrec	1895	At the Moulin Rouge
Artist	Wassily Kandinsky	1913	Composition VII
Artist	Wassily Kandinsky	1911	On the Spiritual in Art
Artist	Henri Matisse	1910	The Dance
Artist	Henri Matisse	1905	Woman with a Hat
Artist	Paul Klee	1922	Twittering Machine
Artist	Paul Klee	1922	Senecio
Artist	Pablo Picasso	1937	Guernica
Artist	Pablo Picasso	1907	Les Demoiselles d'Avignon
Artist	Pablo Picasso	1904	The Old Guitarist
Artist	Marc Chagall	1911	I and the Village
Artist	Marc Chagall	1912	The Fiddler
Artist	Joan Miró	1925	The Harlequin's Carnival
Artist	Joan Miró	1922	The Farm
Artist	Salvador Dalí	1931	The Persistence of Memory
Artist	Salvador Dalí	1946	The Temptation of St. Anthony
Artist	Frida Kahlo	1939	The Two Fridas
Artist	Frida Kahlo	1940	Self-Portrait with Thorn Necklace and Hummingbird
Artist	Jackson Pollock	1948	No. 5, 1948
Artist	Jackson Pollock	1950	Autumn Rhythm
Artist	Andy Warhol	1962	Campbell's Soup Cans
Artist	Andy Warhol	1962	Marilyn Diptych
Artist	David Lynch	1977	Eraserhead
Artist	David Lynch	1986	Blue Velvet
Artist	David Lynch	1990	Twin Peaks
Artist	David Lynch	2001	Mulholland Drive
Writer	Sophocles	-429	Oedipus Rex
Writer	Sophocles	-441	Antigone
Writer	Virgil	-19	The Aeneid
Writer	Virgil	-29	Georgics
Writer	Ovid	8	Metamorphoses
Writer	Dante Alighieri	1320	The Divine Comedy
Writer	Geoffrey Chaucer	1400	The Canterbury Tales
Writer	Miguel de Cervantes	1605	Don Quixote
Writer	William Shakespeare	1600	Hamlet
Writer	William Shakespeare	1595	Romeo and Juliet
Writer	William Shakespeare	1606	Macbeth
Writer	Molière	1664	Tartuffe
Writer	Molière	1666	The Misanthrope
Writer	Matsuo Bashō	1694	The Narrow Road to the Deep North
Writer	Voltaire	1759	Candide
Writer	Benjamin Franklin	1732	Poor Richard's Almanack
Writer	Benjamin Franklin	1791	The Autobiography of Benjamin Franklin
Writer	Johann Wolfgang von Goethe	1808	Faust
Writer	Johann Wolfgang von Goethe	1774	The Sorrows of Young Werther
Writer	Friedrich Schiller	1804	William Tell
Writer	Friedrich Schiller	1781	The Robbers
Writer	Jane Austen	1813	Pride and Prejudice
Writer	Jane Austen	1811	Sense and Sensibility
Writer	Jane Austen	1815	Emma
Writer	Lord Byron	1819	Don Juan
Writer	Lord Byron	1812	Childe Harold's Pilgrimage
Writer	Alexander Pushkin	1833	Eugene Onegin
Writer	Alexander Pushkin	1837	The Bronze Horseman
Writer	Hans Christian Andersen	1837	The Little Mermaid
Writer	Hans Christian Andersen	1835	Fairy Tales
Writer	Edgar Allan Poe	1845	The Raven
Writer	Edgar Allan Poe	1843	The Tell-Tale Heart
Writer	Charles Dickens	1843	A Christmas Carol
Writer	Charles Dickens	1838	Oliver Twist
Writer	Charles Dickens	1861	Great Expectations
Writer	Fyodor Dostoyevsky	1866	Crime and Punishment
Writer	Fyodor Dostoyevsky	1880	The Brothers Karamazov
Writer	Charles Baudelaire	1857	Les Fleurs du mal
Writer	Leo Tolstoy	1869	War and Peace
Writer	Leo Tolstoy	1877	Anna Karenina
Writer	Jules Verne	1870	Twenty Thousand Leagues Under the Sea
Writer	Jules Verne	1873	Around the World in Eighty Days
Writer	Mark Twain	1884	Adventures of Huckleberry Finn
Writer	Mark Twain	1876	The Adventures of Tom Sawyer
Writer	Oscar Wilde	1890	The Picture of Dorian Gray
Writer	Oscar Wilde	1895	The Importance of Being Earnest
Writer	Arthur Conan Doyle	1887	A Study in Scarlet
Writer	Arthur Conan Doyle	1902	The Hound of the Baskervilles
Writer	Anton Chekhov	1904	The Cherry Orchard
Writer	Anton Chekhov	1896	The Seagull
Writer	Rabindranath Tagore	1910	Gitanjali
Writer	Rudyard Kipling	1894	The Jungle Book
Writer	Rudyard Kipling	1901	Kim
Writer	Maxim Gorky	1902	The Lower Depths
Writer	Maxim Gorky	1906	The Mother
Writer	Marcel Proust	1913	In Search of Lost Time
Writer	James Joyce	1922	Ulysses
Writer	James Joyce	1914	Dubliners
Writer	Franz Kafka	1915	The Metamorphosis
Writer	Franz Kafka	1925	The Trial
Writer	Le Corbusier	1923	Towards a New Architecture
Writer	Le Corbusier	1931	Villa Savoye
Writer	Agatha Christie	1934	Murder on the Orient Express
Writer	Agatha Christie	1939	And Then There Were None
Writer	J. R. R. Tolkien	1937	The Hobbit
Writer	J. R. R. Tolkien	1954	The Lord of the Rings
Writer	Ernest Hemingway	1952	The Old Man and the Sea
Writer	Ernest Hemingway	1929	A Farewell to Arms
Writer	Jorge Luis Borges	1944	Ficciones
Writer	Jorge Luis Borges	1949	The Aleph
Writer	George Orwell	1949	Nineteen Eighty-Four
Writer	George Orwell	1945	Animal Farm
Scientist	Euclid	-300	Elements
Scientist	Archimedes	-250	On Floating Bodies
Scientist	Archimedes	-225	On the Sphere and Cylinder
Scientist	Ptolemy	150	Almagest
Scientist	Ptolemy	150	Geography
Scientist	Muḥammad ibn Musa al-Khwarizmi	820	The Compendious Book on Calculation by Completion and Balancing (Algebra)
Scientist	Omar Khayyám	1070	Treatise on Demonstration of Problems of Algebra
Scientist	Leonardo da Vinci	1498	The Last Supper
Scientist	Leonardo da Vinci	1503	Mona Lisa
Scientist	Leonardo da Vinci	1490	Vitruvian Man
Scientist	Nicolaus Copernicus	1543	On the Revolutions of the Heavenly Spheres
Scientist	Galileo Galilei	1610	Sidereus Nuncius (The Starry Messenger)
Scientist	Galileo Galilei	1632	Dialogue Concerning the Two Chief World Systems
Scientist	Johannes Kepler	1609	Astronomia nova
Scientist	Johannes Kepler	1619	Harmonices Mundi
Scientist	Blaise Pascal	1670	Pensées
Scientist	Isaac Newton	1687	Philosophiæ Naturalis Principia Mathematica
Scientist	Isaac Newton	1704	Opticks
Scientist	Gottfried Wilhelm Leibniz	1684	Development of calculus
Scientist	Gottfried Wilhelm Leibniz	1714	Monadology
Scientist	Leonhard Euler	1748	Introductio in analysin infinitorum
Scientist	Leonhard Euler	1736	Seven Bridges of Königsberg
Scientist	Joseph Fourier	1822	The Analytical Theory of Heat
Scientist	Alexander von Humboldt	1845	Kosmos
Scientist	Carl Friedrich Gauss	1801	Disquisitiones Arithmeticae
Scientist	Michael Faraday	1831	Discovery of electromagnetic induction
Scientist	Ada Lovelace	1843	Notes on the Analytical Engine (first algorithm)
Scientist	James Prescott Joule	1845	Mechanical equivalent of heat
Scientist	Louis Pasteur	1885	Rabies vaccine
Scientist	Louis Pasteur	1862	Germ theory and pasteurization
Scientist	Gregor Mendel	1866	Experiments on Plant Hybridization
Scientist	James Clerk Maxwell	1873	A Treatise on Electricity and Magnetism
Scientist	Alfred Nobel	1867	Invention of dynamite
Scientist	Dmitri Mendeleev	1869	The Periodic Table of Elements
Scientist	Wilhelm Röntgen	1895	Discovery of X-rays
Scientist	Thomas Edison	1877	The phonograph
Scientist	Thomas Edison	1879	Practical incandescent light bulb
Scientist	Henri Poincaré	1890	Work on the three-body problem
Scientist	Nikola Tesla	1888	The AC induction motor
Scientist	Max Planck	1900	Quantum theory (Planck's law)
Scientist	L. L. Zamenhof	1887	Esperanto (Unua Libro)
Scientist	Pierre Curie	1898	Discovery of radium and polonium
Scientist	David Hilbert	1900	Hilbert's 23 problems
Scientist	Marie Curie	1898	Discovery of radium and polonium
Scientist	Marie Curie	1903	Nobel Prize in Physics
Scientist	Ernest Rutherford	1911	Nuclear model of the atom
Scientist	Guglielmo Marconi	1901	First transatlantic radio transmission
Scientist	Albert Einstein	1905	Theory of Special Relativity
Scientist	Albert Einstein	1915	Theory of General Relativity
Scientist	Erwin Schrödinger	1926	The Schrödinger equation
Scientist	Enrico Fermi	1942	First nuclear reactor (Chicago Pile-1)
Scientist	Robert Oppenheimer	1945	The Manhattan Project (Trinity test)
Scientist	Stephen Hawking	1988	A Brief History of Time
Scientist	Stephen Hawking	1974	Hawking radiation
Philosopher	M. Tullius Cicero	-51	On the Republic
Philosopher	M. Tullius Cicero	-44	On Duties
Philosopher	Thales	-585	Prediction of the solar eclipse
Philosopher	Pythagoras	-530	The Pythagorean theorem
Philosopher	The Buddha	-528	Founding of Buddhism
Philosopher	Confucius	-479	The Analects
Philosopher	Socrates	-399	Trial and death of Socrates
Philosopher	Plato	-375	The Republic
Philosopher	Plato	-385	Symposium
Philosopher	Aristotle	-340	Nicomachean Ethics
Philosopher	Aristotle	-350	Politics
Philosopher	Epicurus	-300	Letter to Menoeceus
Philosopher	Plutarch	100	Parallel Lives
Philosopher	Marcus Aurelius	175	Meditations
Philosopher	Augustine of Hippo	398	Confessions
Philosopher	Augustine of Hippo	426	The City of God
Philosopher	Avicenna	1025	The Canon of Medicine
Philosopher	Avicenna	1027	The Book of Healing
Philosopher	Thomas Aquinas	1274	Summa Theologica
Philosopher	Giordano Bruno	1584	On the Infinite Universe and Worlds
Philosopher	Francis Bacon	1620	Novum Organum
Philosopher	Francis Bacon	1605	The Advancement of Learning
Philosopher	Thomas Hobbes	1651	Leviathan
Philosopher	René Descartes	1637	Discourse on the Method
Philosopher	René Descartes	1641	Meditations on First Philosophy
Philosopher	John Locke	1689	Two Treatises of Government
Philosopher	John Locke	1689	An Essay Concerning Human Understanding
Philosopher	Benedictus de Spinoza	1677	Ethics
Philosopher	David Hume	1739	A Treatise of Human Nature
Philosopher	David Hume	1748	An Enquiry Concerning Human Understanding
Philosopher	Jean-Jacques Rousseau	1762	The Social Contract
Philosopher	Jean-Jacques Rousseau	1762	Emile, or On Education
Philosopher	Denis Diderot	1751	The Encyclopédie
Philosopher	Adam Smith	1776	The Wealth of Nations
Philosopher	Adam Smith	1759	The Theory of Moral Sentiments
Philosopher	Immanuel Kant	1781	Critique of Pure Reason
Philosopher	Immanuel Kant	1788	Critique of Practical Reason
Philosopher	Georg Wilhelm Friedrich Hegel	1807	The Phenomenology of Spirit
Philosopher	Arthur Schopenhauer	1818	The World as Will and Representation
Philosopher	Ralph Waldo Emerson	1836	Nature
Philosopher	Ralph Waldo Emerson	1841	Self-Reliance
Philosopher	John Stuart Mill	1859	On Liberty
Philosopher	John Stuart Mill	1863	Utilitarianism
Philosopher	Søren Kierkegaard	1843	Either/Or
Philosopher	Søren Kierkegaard	1843	Fear and Trembling
Philosopher	Karl Marx	1848	The Communist Manifesto
Philosopher	Karl Marx	1867	Das Kapital
Philosopher	Friedrich Engels	1845	The Condition of the Working Class in England
Philosopher	Friedrich Engels	1848	The Communist Manifesto
Philosopher	Friedrich Nietzsche	1883	Thus Spoke Zarathustra
Philosopher	Friedrich Nietzsche	1886	Beyond Good and Evil
Philosopher	Max Weber	1905	The Protestant Ethic and the Spirit of Capitalism
Philosopher	Bertrand Russell	1910	Principia Mathematica
Philosopher	Bertrand Russell	1912	The Problems of Philosophy
Philosopher	Ludwig Wittgenstein	1921	Tractatus Logico-Philosophicus
Philosopher	Ludwig Wittgenstein	1953	Philosophical Investigations
Philosopher	B. R. Ambedkar	1936	Annihilation of Caste
Philosopher	B. R. Ambedkar	1949	Drafting the Constitution of India
Philosopher	Jean-Paul Sartre	1943	Being and Nothingness
Philosopher	Jean-Paul Sartre	1938	Nausea
Philosopher	Simone de Beauvoir	1949	The Second Sex
Philosopher	Albert Camus	1942	The Stranger
Philosopher	Albert Camus	1942	The Myth of Sisyphus
Philosopher	Albert Camus	1947	The Plague
