rulerID	name	wikipedia
473	Henri II	https://en.wikipedia.org/wiki/Henri_II_of_France
475	Charles IX	https://en.wikipedia.org/wiki/Charles_IX_of_France
485	Charles X	https://en.wikipedia.org/wiki/Charles_X_of_France
488	Directory	https://en.wikipedia.org/wiki/Directory_of_France
585	Xuandi	https://en.wikipedia.org/wiki/Emperor_Xuan_of_Han
586	Yuandi	https://en.wikipedia.org/wiki/Emperor_Yuan_of_Han
600	Gaozu	https://en.wikipedia.org/wiki/Emperor_Gaozu_of_Tang
603	Ruizong	https://en.wikipedia.org/wiki/Emperor_Ruizong_of_Tang
604	Xuanzong	https://en.wikipedia.org/wiki/Emperor_Xuanzong_of_Tang
606	Wenzong	https://en.wikipedia.org/wiki/Emperor_Wenzong_of_Tang
608	Taizu	https://en.wikipedia.org/wiki/Emperor_Taizu_of_Song
609	Taizong	https://en.wikipedia.org/wiki/Emperor_Taizong_of_Song
611	Renzong	https://en.wikipedia.org/wiki/Emperor_Renzong_of_Song
612	Shenzong	https://en.wikipedia.org/wiki/Emperor_Shenzong_of_Song
613	Huizong	https://en.wikipedia.org/wiki/Emperor_Huizong_of_Song
616	Gaozong	https://en.wikipedia.org/wiki/Emperor_Gaozong_of_Song
619	Temür	https://en.wikipedia.org/wiki/Tem%C3%BCr_Khan
625	Jingtai	https://en.wikipedia.org/wiki/Jingtai_Emperor
629	Wanli	https://en.wikipedia.org/wiki/Wanli_Emperor
630	Tianqi	https://en.wikipedia.org/wiki/Tianqi_Emperor
638	Xianfeng	https://en.wikipedia.org/wiki/Xianfeng_Emperor
639	Tongzhi	https://en.wikipedia.org/wiki/Tongzhi_Emperor
651	Louis III	https://en.wikipedia.org/wiki/Louis_III,_Holy_Roman_Emperor
656	Heinrich II	https://en.wikipedia.org/wiki/Heinrich_II,_Holy_Roman_Emperor
658	Heinrich III	https://en.wikipedia.org/wiki/Heinrich_III,_Holy_Roman_Emperor
659	Heinrich IV	https://en.wikipedia.org/wiki/Heinrich_IV,_Holy_Roman_Emperor
662	Frederick I	https://en.wikipedia.org/wiki/Frederick_I,_Holy_Roman_Emperor
665	Frederick II	https://en.wikipedia.org/wiki/Frederick_II,_Holy_Roman_Emperor
667	Louis IV	https://en.wikipedia.org/wiki/Louis_IV,_Holy_Roman_Emperor
670	Frederick III	https://en.wikipedia.org/wiki/Frederick_III,_Holy_Roman_Emperor
671	Maximilian I	https://en.wikipedia.org/wiki/Maximilian_I,_Holy_Roman_Emperor
674	Maximilian II	https://en.wikipedia.org/wiki/Maximilian_II,_Holy_Roman_Emperor
677	Ferdinand II	https://en.wikipedia.org/wiki/Ferdinand_II,_Holy_Roman_Emperor
678	Ferdinand III	https://en.wikipedia.org/wiki/Ferdinand_III,_Holy_Roman_Emperor
679	Leopold I	https://en.wikipedia.org/wiki/Leopold_I,_Holy_Roman_Emperor
680	Joseph I	https://en.wikipedia.org/wiki/Joseph_I,_Holy_Roman_Emperor
681	Charles VI	https://en.wikipedia.org/wiki/Charles_VI,_Holy_Roman_Emperor
682	Charles VII	https://en.wikipedia.org/wiki/Charles_VII,_Holy_Roman_Emperor
683	Francis I	https://en.wikipedia.org/wiki/Francis_I,_Holy_Roman_Emperor
685	Leopold II	https://en.wikipedia.org/wiki/Leopold_II,_Holy_Roman_Emperor
777	Peter II	https://en.wikipedia.org/wiki/Peter_II_of_Russia
778	Anna	https://en.wikipedia.org/wiki/Anna_of_Russia
780	Elizabeth	https://en.wikipedia.org/wiki/Elizabeth_of_Russia
781	Peter III	https://en.wikipedia.org/wiki/Peter_III_of_Russia
783	Paul	https://en.wikipedia.org/wiki/Paul_of_Russia
785	Nicholas I	https://en.wikipedia.org/wiki/Nicholas_I_of_Russia
789	Daniel	https://en.wikipedia.org/wiki/Daniel_of_Moscow
791	Ivan I	https://en.wikipedia.org/wiki/Ivan_I_of_Moscow
793	Ivan II	https://en.wikipedia.org/wiki/Ivan_II_of_Moscow
806	Michael	https://en.wikipedia.org/wiki/Michael_of_Russia
807	Alexis	https://en.wikipedia.org/wiki/Alexis_of_Russia
605	Dezong	https://en.wikipedia.org/wiki/Emperor_Dezong_of_Tang
598	Wendi	https://en.wikipedia.org/wiki/Emperor_Wen_of_Sui
597	Wudi	https://en.wikipedia.org/wiki/Emperor_Wu_of_Liang
492	Louis-Napoléon Bonaparte	https://en.wikipedia.org/wiki/Napoleon_III
496	Sadi Carnot	https://en.wikipedia.org/wiki/Marie_Fran%C3%A7ois_Sadi_Carnot
648	Guy II	https://en.wikipedia.org/wiki/Guy_III_of_Spoleto
