OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
1	509BC	-509	Prior	L. Junius Brutus	x		https://en.wikipedia.org/wiki/Lucius_Junius_Brutus		
2	509BC	-509	suff (I)	Sp. Lucretius Tricipitinus	x		https://en.wikipedia.org/wiki/Spurius_Lucretius_Tricipitinus		
3	509BC	-509	suff (I)	M. Horatius Pulvillus	x		https://en.wikipedia.org/wiki/Marcus_Horatius_Pulvillus		
1664	509BC	-509	Posterior	L. Tarquinius Collatinus	x		https://en.wikipedia.org/wiki/Lucius_Tarquinius_Collatinus		
1665	509BC	-509	suff. (II)	P. Valerius Poplicola	x		https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
4	508BC	-508	Prior	P. Valerius Poplicola II	n		https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
1667	508BC	-508	Posterior	T. Lucretius Tricipitinus	x		https://en.wikipedia.org/wiki/Titus_Lucretius_Tricipitinus		
5	507BC	-507	Prior	P. Valerius Poplicola III	n		https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
1668	507BC	-507	Posterior	M. Horatius Pulvillus II	n		https://en.wikipedia.org/wiki/Marcus_Horatius_Pulvillus		
6	506BC	-506	Prior	Sp. Larcius	x		https://en.wikipedia.org/wiki/Spurius_Larcius		
1669	506BC	-506	Posterior	T. Herminius Aquilinus	x		https://en.wikipedia.org/wiki/Titus_Herminius_Aquilinus		
7	505BC	-505	Prior	M. Valerius Volusus	x		https://en.wikipedia.org/wiki/Marcus_Valerius_Volusus		
1670	505BC	-505	Posterior	P. Postumius Tubertus	x		https://en.wikipedia.org/wiki/Publius_Postumius_Tubertus		
8	504BC	-504	Prior	P. Valerius Poplicola IV	n		https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
1671	504BC	-504	Posterior	T. Lucretius Tricipitinus II	n		https://en.wikipedia.org/wiki/Titus_Lucretius_Tricipitinus		
9	503BC	-503	Prior	Agrippa Menenius Lanatus	x		https://en.wikipedia.org/wiki/Agrippa_Menenius_Lanatus_(consul_503_BC)		
1672	503BC	-503	Posterior	P. Postumius Tubertus II	n		https://en.wikipedia.org/wiki/Publius_Postumius_Tubertus		
10	502BC	-502	Prior	Opiter Verginius Tricostus	x		https://en.wikipedia.org/wiki/Opiter_Verginius_Tricostus		
1673	502BC	-502	Posterior	Sp. Cassius Vecellinus	x		https://en.wikipedia.org/wiki/Spurius_Cassius_Vecellinus		
