OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
1	509BC	-509	Prior	L. Junius Brutus	x	1016	https://en.wikipedia.org/wiki/Lucius_Junius_Brutus		
2	509BC	-509	suff (I)	Sp. Lucretius Tricipitinus	x	1017	https://en.wikipedia.org/wiki/Spurius_Lucretius_Tricipitinus		
3	509BC	-509	suff (I)	M. Horatius Pulvillus	x	1018	https://en.wikipedia.org/wiki/Marcus_Horatius_Pulvillus		
1664	509BC	-509	Posterior	L. Tarquinius Collatinus	x	1019	https://en.wikipedia.org/wiki/Lucius_Tarquinius_Collatinus		
1665	509BC	-509	suff. (II)	P. Valerius Poplicola	x	1020	https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
4	508BC	-508	Prior	P. Valerius Poplicola II	n	1020	https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
1667	508BC	-508	Posterior	T. Lucretius Tricipitinus	x	1021	https://en.wikipedia.org/wiki/Titus_Lucretius_Tricipitinus		
5	507BC	-507	Prior	P. Valerius Poplicola III	n	1020	https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
1668	507BC	-507	Posterior	M. Horatius Pulvillus II	n	1018	https://en.wikipedia.org/wiki/Marcus_Horatius_Pulvillus		
6	506BC	-506	Prior	Sp. Larcius	x	1022	https://en.wikipedia.org/wiki/Spurius_Larcius		
1669	506BC	-506	Posterior	T. Herminius Aquilinus	x	1023	https://en.wikipedia.org/wiki/Titus_Herminius_Aquilinus		
7	505BC	-505	Prior	M. Valerius Volusus	x	1024	https://en.wikipedia.org/wiki/Marcus_Valerius_Volusus		
1670	505BC	-505	Posterior	P. Postumius Tubertus	x	1025	https://en.wikipedia.org/wiki/Publius_Postumius_Tubertus		
8	504BC	-504	Prior	P. Valerius Poplicola IV	n	1020	https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola		
1671	504BC	-504	Posterior	T. Lucretius Tricipitinus II	n	1021	https://en.wikipedia.org/wiki/Titus_Lucretius_Tricipitinus		
9	503BC	-503	Prior	Agrippa Menenius Lanatus	x	1026	https://en.wikipedia.org/wiki/Agrippa_Menenius_Lanatus_(consul_503_BC)		
1672	503BC	-503	Posterior	P. Postumius Tubertus II	n	1025	https://en.wikipedia.org/wiki/Publius_Postumius_Tubertus		
10	502BC	-502	Prior	Opiter Verginius Tricostus	x	1027	https://en.wikipedia.org/wiki/Opiter_Verginius_Tricostus		
1673	502BC	-502	Posterior	Sp. Cassius Vecellinus	x	1028	https://en.wikipedia.org/wiki/Spurius_Cassius_Vecellinus		
11	501BC	-501	Prior	Postumus Cominius Auruncus	x	1029	https://en.wikipedia.org/wiki/Postumus_Cominius_Auruncus		
1674	501BC	-501	Posterior	T. Larcius	x	1030	https://en.wikipedia.org/wiki/Titus_Larcius		
12	500BC	-500	Prior	Ser. Sulpicius Camerinus Cornutus	x	1031	https://en.wikipedia.org/wiki/Servius_Sulpicius_Camerinus_Cornutus		
1675	500BC	-500	Posterior	M'. Tullius Longus	x	1032	https://en.wikipedia.org/wiki/Manius_Tullius_Longus		
13	499BC	-499	Prior	T. Aebutius Helva	x	1033	https://en.wikipedia.org/wiki/Titus_Aebutius_Helva		
1676	499BC	-499	Posterior	C. Veturius Geminus Cicurinus	x	1034	https://en.wikipedia.org/wiki/Gaius_Veturius_Geminus_Cicurinus		
14	498BC	-498	Prior	Q. Cloelius Siculus	x	1035	https://en.wikipedia.org/wiki/Quintus_Cloelius_Siculus		
1677	498BC	-498	Posterior	T. Larcius II	n	1030	https://en.wikipedia.org/wiki/Titus_Larcius		
15	497BC	-497	Prior	A. Sempronius Atratinus	x	1036	https://en.wikipedia.org/wiki/Aulus_Sempronius_Atratinus_(consul_497_BC)		
1678	497BC	-497	Posterior	M. Minucius Augurinus	x	1037	https://en.wikipedia.org/wiki/Marcus_Minucius_Augurinus		
16	496BC	-496	Prior	A. Postumius Albus Regillensis	x	1038	https://en.wikipedia.org/wiki/Aulus_Postumius_Albus_Regillensis		
1679	496BC	-496	Posterior	T. Verginius Tricostus Caeliomontanus	x	1039	https://en.wikipedia.org/wiki/Titus_Verginius_Tricostus_Caeliomontanus_(consul_496_BC)		
17	495BC	-495	Prior	Ap. Claudius Sabinus Inregillensis	x	1040	https://en.wikipedia.org/wiki/Appius_Claudius_Sabinus_Inregillensis		
1680	495BC	-495	Posterior	P. Servilius Priscus Structus	x	1041	https://en.wikipedia.org/wiki/Publius_Servilius_Priscus_Structus		
18	494BC	-494	Prior	A. Verginius Tricostus Caeliomontanus	x	1042	https://en.wikipedia.org/wiki/Aulus_Verginius_Tricostus_Caeliomontanus_(consul_494_BC)		
