40,C. Caesar Augustus Germanicus III,https://en.wikipedia.org/wiki/Caligula,Table_7
id. Jan.,C. Laecanius Bassus,https://en.wikipedia.org/wiki/Gaius_Laecanius_Bassus_(consul_40),Table_7
,,,Table_7
41[104],C. Caesar Augustus Germanicus IV (January),https://en.wikipedia.org/wiki/Caligula,Table_7
suff.,Q. Pomponius Secundus (February–June),https://en.wikipedia.org/wiki/Quintus_Pomponius_Secundus,Table_7
1 Jul.,unidentified,,Table_7
suff.,Q. Futius Lusius Saturninus (September–October),https://en.wikipedia.org/wiki/Quintus_Futius_Lusius_Saturninus,Table_7
suff.,Q. Ostorius Scapula[105] (November–December),https://en.wikipedia.org#cite_note-105,Table_7
,,,Table_7
42,Ti. Claudius Caesar Augustus Germanicus II,https://en.wikipedia.org/wiki/Claudius,Table_7
Mar.,C. Cestius Gallus,https://en.wikipedia.org/wiki/Gaius_Cestius_Gallus_(governor_of_Syria),Table_7
Sep.?,Cornelius Lupus,https://en.wikipedia.org/wiki/Cornelius_Lupus,Table_7
,,,Table_7
43[106],Ti. Claudius Caesar Augustus Germanicus III,https://en.wikipedia.org/wiki/Claudius,Table_7
Mar.,Sex. Palpellius Hister,https://en.wikipedia.org/wiki/Sextus_Palpellius_Hister,Table_7
Aug.?,A. Gabinius Secundus,https://en.wikipedia.org/wiki/Aulus_Gabinius_Secundus_(consul_43),Table_7
Oct.,Q. Curtius Rufus,https://en.wikipedia.org/wiki/Curtius_Rufus,Table_7
,,,Table_7
44[107],C. Sallustius Passienus Crispus II,https://en.wikipedia.org/wiki/Gaius_Sallustius_Passienus_Crispus,Table_7
suff.,P. Calvisius Sabinus Pomponius Secundus,https://en.wikipedia.org/wiki/Publius_Pomponius_Secundus,Table_7
suff.,(?) T. Axius,,Table_7
,,,Table_7
45,M. Vinicius II,https://en.wikipedia.org/wiki/Marcus_Vinicius_(consul_30),Table_7
1 Mar.,Ti. Plautius Silvanus Aelianus[108],https://en.wikipedia.org/wiki/Tiberius_Plautius_Silvanus_Aelianus,Table_7
Jul.?,M. Pompeius Silvanus Staberius Flavianus,https://en.wikipedia.org/wiki/Marcus_Pompeius_Silvanus_Staberius_Flavianus,Table_7
Dec.?,(?) P. Fabius Firmanus,,Table_7
,,,Table_7
46,D. Valerius Asiaticus II (January–February),https://en.wikipedia.org/wiki/Decimus_Valerius_Asiaticus_(consul_35),Table_7
